日期,注册天数,签到第几天,锁仓绩效积分,可用绩效积分,养老绩效积分,当前累计贡献值,,,,,,,,,,
2020年5月15日,76,7,187.850006,0.52,2.91,437905,,,,,,,,,,
日期,注册天数,登陆第几天,签到贡献值,阅读倍数,阅读贡献值,分享贡献值,广告贡献值,今日获取的总贡献值,转换比,贡献值转换成积分,释放比,释放积分,锁仓绩效积分,可用绩效积分,养老绩效积分,累计贡献值
2020年10月21日,234,4,48,8,540,50,160,798,5190.180176,0.153752,0.0004,0.079129,197.744583,24.319954,8.859986,643667
2020年10月22日,235,5,60,8,540,50,160,810,5190.180176,0.156064,0.0004,0.07916,197.821487,24.383282,8.875818,644477
2020年10月23日,236,6,72,8,540,50,160,822,5190.180176,0.158376,0.0004,0.079192,197.900665,24.446636,8.891657,645299
2020年10月24日,237,7,1376,8,540,50,160,2126,5190.180176,0.40962,0.0004,0.079324,198.230957,24.510096,8.907521,647425
2020年10月25日,238,1,12,8,540,50,160,762,5190.180176,0.146816,0.0004,0.079351,198.298431,24.573576,8.923391,648187
2020年10月26日,239,2,24,8,540,50,160,774,5190.180176,0.149128,0.0004,0.079379,198.368179,24.637079,8.939267,648961
2020年10月27日,240,3,36,8,540,50,160,786,5190.180176,0.15144,0.0004,0.079408,198.440216,24.700605,8.955149,649747
2020年10月28日,241,4,48,8,540,50,160,798,5190.180176,0.153752,0.0003,0.059578,198.534378,24.748268,8.967064,650545
2020年10月29日,242,5,60,8,540,50,160,810,5190.180176,0.156064,0.0003,0.059607,198.630844,24.795954,8.978986,651355
2020年10月30日,243,6,72,8,540,50,160,822,5190.180176,0.158376,0.0003,0.059637,198.729584,24.843662,8.990913,652177
2020年10月31日,244,7,1376,8,540,50,160,2126,5190.180176,0.40962,0.0003,0.059742,199.079468,24.891457,9.002862,654303
2020年11月1日,245,1,12,8,540,50,160,762,5190.180176,0.146816,0.0003,0.059768,199.166519,24.93927,9.014815,655065
2020年11月2日,246,2,24,8,540,50,160,774,5190.180176,0.149128,0.0003,0.059795,199.255844,24.987106,9.026774,655839
2020年11月3日,247,3,36,8,540,50,160,786,5190.180176,0.15144,0.0003,0.059822,199.347458,25.034964,9.038739,656625
2020年11月4日,248,4,48,8,540,50,160,798,5190.180176,0.153752,0.0003,0.05985,199.44136,25.082844,9.05071,657423
2020年11月5日,249,5,60,8,540,50,160,810,5190.180176,0.156064,0.0003,0.059879,199.537552,25.130747,9.062686,658233
2020年11月6日,250,6,72,8,540,50,160,822,5190.180176,0.158376,0.0003,0.059909,199.636017,25.178675,9.074668,659055
2020年11月7日,251,7,1376,8,540,50,160,2126,5190.180176,0.40962,0.0003,0.060014,199.985626,25.226686,9.086671,661181
2020年11月8日,252,1,12,4,300,50,160,522,5190.180176,0.100575,0.0003,0.060026,200.026169,25.274708,9.098676,661703
2020年11月9日,253,2,24,4,300,50,160,534,5190.180176,0.102887,0.0003,0.060039,200.069016,25.322739,9.110683,662237
2020年11月10日,254,3,36,4,300,50,160,546,5190.180176,0.105199,0.0003,0.060052,200.114151,25.370781,9.122694,662783
2020年11月11日,255,4,48,4,300,50,160,558,5190.180176,0.107511,0.0003,0.060067,200.161591,25.418835,9.134707,663341
2020年11月12日,256,5,60,4,300,50,160,570,5190.180176,0.109823,0.0003,0.060081,200.211334,25.4669,9.146724,663911
2020年11月13日,257,6,72,4,300,50,160,582,5190.180176,0.112135,0.0003,0.060097,200.263367,25.514978,9.158743,664493
2020年11月14日,258,7,1376,4,300,50,160,1886,5190.180176,0.363379,0.0003,0.060188,200.566559,25.563129,9.17078,666379
2020年11月15日,259,1,12,4,300,50,160,522,5190.180176,0.100575,0.0003,0.0602,200.606934,25.61129,9.18282,666901
2020年11月16日,260,2,24,4,300,50,160,534,5190.180176,0.102887,0.0003,0.060213,200.649612,25.65946,9.194863,667435
2020年11月17日,261,3,36,4,300,50,160,546,5190.180176,0.105199,0.0003,0.060226,200.69458,25.707642,9.206908,667981
2020年11月18日,262,4,48,4,300,50,160,558,5190.180176,0.107511,0.0003,0.060241,200.741852,25.755835,9.218956,668539
2020年11月19日,263,5,60,4,300,50,160,570,5190.180176,0.109823,0.0003,0.060256,200.791412,25.804039,9.231007,669109
2020年11月20日,264,6,72,4,300,50,160,582,5190.180176,0.112135,0.0003,0.060271,200.843277,25.852257,9.243061,669691
2020年11月21日,265,7,1376,4,300,50,160,1886,5190.180176,0.363379,0.0003,0.060362,201.146286,25.900547,9.255134,671577
2020年11月22日,266,1,12,4,300,50,160,522,5190.180176,0.100575,0.0003,0.060374,201.186478,25.948847,9.267208,672099
2020年11月23日,267,2,24,4,300,50,160,534,5190.180176,0.102887,0.0003,0.060387,201.228973,25.997156,9.279285,672633
2020年11月24日,268,3,36,4,300,50,160,546,5190.180176,0.105199,0.0003,0.0604,201.273773,26.045477,9.291366,673179
2020年11月25日,269,4,48,4,300,50,160,558,5190.180176,0.107511,0.0003,0.060414,201.320877,26.093809,9.303449,673737
2020年11月26日,270,5,60,4,300,50,160,570,5190.180176,0.109823,0.0003,0.060429,201.37027,26.142153,9.315535,674307
2020年11月27日,271,6,72,4,300,50,160,582,5190.180176,0.112135,0.0002,0.040296,201.442108,26.174391,9.323594,674889
2020年11月28日,272,7,1376,4,300,50,160,1886,5190.180176,0.363379,0.0002,0.040361,201.765121,26.20668,9.331666,676775
2020年11月29日,273,1,12,4,300,50,160,522,5190.180176,0.100575,0.0002,0.040373,201.825317,26.238979,9.339741,677297
2020年11月30日,274,2,24,4,300,50,160,534,5190.180176,0.102887,0.0002,0.040386,201.887817,26.271288,9.347817,677831
2020年12月1日,275,3,36,4,300,50,160,546,5190.180176,0.105199,0.0002,0.040399,201.952606,26.303606,9.355897,678377
2020年12月2日,276,4,48,4,300,50,160,558,5190.180176,0.107511,0.0002,0.040412,202.019714,26.335936,9.363979,678935
2020年12月3日,277,5,60,4,300,50,160,570,5190.180176,0.109823,0.0002,0.040426,202.089111,26.368277,9.372065,679505
